Timestamp,Value,Type
9:13:11 PM.336,"Distance: 25.36 cm\r\n",received
9:13:13 PM.386,"Distance: 24.87 cm\r\n",received
9:13:15 PM.393,"Distance: 25.86 cm\r\n",received
9:13:17 PM.434,"Distance: 25.89 cm\r\n",received
9:13:19 PM.463,"Distance: 26.74 cm\r\n",received
9:13:21 PM.491,"Distance: 27.57 cm\r\n",received
9:13:23 PM.526,"Distance: 26.33 cm\r\n",received
9:13:25 PM.556,"Distance: 26.23 cm\r\n",received
9:13:27 PM.588,"Distance: 27.47 cm\r\n",received
9:13:29 PM.610,"Distance: 25.74 cm\r\n",received
9:13:31 PM.641,"Distance: 25.74 cm\r\n",received
9:13:33 PM.681,"Distance: 25.74 cm\r\n",received
9:13:35 PM.721,"Distance: 26.03 cm\r\n",received
9:13:37 PM.741,"Distance: 26.52 cm\r\n",received
9:13:39 PM.762,"Distance: 26.89 cm\r\n",received
9:13:41 PM.798,"Distance: 26.89 cm\r\n",received
9:13:43 PM.833,"Distance: 26.88 cm\r\n",received
9:13:45 PM.860,"Distance: 178.67 cm\r\n",received
9:13:47 PM.913,"Distance: 178.72 cm\r\n",received
9:13:49 PM.955,"Distance: 179.18 cm\r\n",received
9:13:51 PM.987,"Distance: 179.25 cm\r\n",received
9:13:54 PM.33,"Distance: 26.50 cm\r\n",received
9:13:56 PM.59,"Distance: 178.74 cm\r\n",received
9:13:58 PM.101,"Distance: 178.24 cm\r\n",received
9:14:00 PM.140,"Distance: 26.89 cm\r\n",received
9:14:02 PM.176,"Distance: 27.03 cm\r\n",received
9:14:04 PM.214,"Distance: 178.72 cm\r\n",received
9:14:06 PM.253,"Distance: 27.03 cm\r\n",received
9:14:08 PM.275,"Distance: 179.23 cm\r\n",received
9:14:10 PM.316,"Distance: 179.13 cm\r\n",received
9:14:12 PM.358,"Distance: 179.15 cm\r\n",received
9:14:14 PM.392,"Distance: 27.00 cm\r\n",received
9:14:16 PM.429,"Distance: 27.03 cm\r\n",received
9:14:18 PM.452,"Distance: 26.16 cm\r\n",received
9:14:20 PM.500,"Distance: 178.84 cm\r\n",received
9:14:22 PM.532,"Distance: 178.81 cm\r\n",received
9:14:24 PM.566,"Distance: 178.89 cm\r\n",received
9:14:26 PM.618,"Distance: 178.84 cm\r\n",received
9:14:28 PM.654,"Distance: 179.28 cm\r\n",received
9:14:30 PM.693,"Distance: 26.50 cm\r\n",received
9:14:32 PM.723,"Distance: 26.89 cm\r\n",received
9:14:34 PM.753,"Distance: 26.04 cm\r\n",received
9:14:36 PM.780,"Distance: 26.89 cm\r\n",received
9:14:38 PM.832,"Distance: 179.06 cm\r\n",received
9:14:40 PM.844,"Distance: 26.01 cm\r\n",received
9:14:42 PM.899,"Distance: 178.33 cm\r\n",received
9:14:44 PM.938,"Distance: 179.06 cm\r\n",received
9:14:46 PM.956,"Distance: 26.50 cm\r\n",received
9:14:48 PM.997,"Distance: 26.16 cm\r\n",received
9:14:51 PM.36,"Distance: 178.69 cm\r\n",received
9:14:53 PM.86,"Distance: 178.67 cm\r\n",received
9:14:55 PM.110,"Distance: 26.88 cm\r\n",received
9:14:57 PM.153,"Distance: 178.77 cm\r\n",received
9:14:59 PM.193,"Distance: 27.00 cm\r\n",received
9:15:01 PM.214,"Distance: 27.37 cm\r\n",received
9:15:03 PM.251,"Distance: 26.69 cm\r\n",received
9:15:05 PM.274,"Distance: 27.76 cm\r\n",received
9:15:07 PM.297,"Distance: 27.86 cm\r\n",received
9:15:09 PM.340,"Distance: 28.61 cm\r\n",received
9:15:11 PM.371,"Distance: 28.73 cm\r\n",received
9:15:13 PM.406,"Distance: 26.54 cm\r\n",received
9:15:15 PM.444,"Distance: 178.70 cm\r\n",received
9:15:17 PM.487,"Distance: 26.62 cm\r\n",received
9:15:19 PM.503,"Distance: 28.66 cm\r\n",received
9:15:21 PM.539,"Distance: 178.67 cm\r\n",received
9:15:23 PM.612,"Distance: 179.16 cm\r\n",received
9:15:25 PM.618,"Distance: 26.06 cm\r\n",received
9:15:27 PM.656,"Distance: 178.70 cm\r\n",received
9:15:29 PM.697,"Distance: 178.76 cm\r\n",received
9:15:31 PM.731,"Distance: 178.82 cm\r\n",received
9:15:33 PM.786,"Distance: 178.93 cm\r\n",received
9:15:35 PM.825,"Distance: 178.72 cm\r\n",received
9:15:37 PM.867,"Distance: 179.16 cm\r\n",received
9:15:39 PM.891,"Distance: 28.71 cm\r\n",received
9:15:41 PM.931,"Distance: 178.84 cm\r\n",received
9:15:43 PM.969,"Distance: 178.70 cm\r\n",received
9:15:46 PM.5,"Distance: 26.89 cm\r\n",received
9:15:48 PM.41,"Distance: 179.03 cm\r\n",received
9:15:50 PM.83,"Distance: 179.18 cm\r\n",received
9:15:52 PM.118,"Distance: 179.08 cm\r\n",received
9:15:54 PM.164,"Distance: 178.76 cm\r\n",received
9:15:56 PM.215,"Distance: 178.89 cm\r\n",received
9:15:58 PM.247,"Distance: 178.72 cm\r\n",received
9:16:00 PM.286,"Distance: 179.15 cm\r\n",received
9:16:02 PM.320,"Distance: 178.70 cm\r\n",received
9:16:04 PM.358,"Distance: 178.45 cm\r\n",received
9:16:06 PM.414,"Distance: 179.10 cm\r\n",received
9:16:08 PM.440,"Distance: 178.70 cm\r\n",received
9:16:10 PM.482,"Distance: 179.16 cm\r\n",received
9:16:12 PM.539,"Distance: 178.81 cm\r\n",received
9:16:14 PM.576,"Distance: 179.13 cm\r\n",received
9:16:16 PM.618,"Distance: 26.91 cm\r\n",received
9:16:18 PM.641,"Distance: 178.40 cm\r\n",received
9:16:20 PM.676,"Distance: 179.25 cm\r\n",received
9:16:22 PM.729,"Distance: 179.25 cm\r\n",received
9:16:24 PM.766,"Distance: 178.74 cm\r\n",received
9:16:26 PM.803,"Distance: 178.81 cm\r\n",received
9:16:28 PM.823,"Distance: 27.00 cm\r\n",received
9:16:30 PM.866,"Distance: 28.73 cm\r\n",received
9:16:32 PM.903,"Distance: 28.61 cm\r\n",received
9:16:34 PM.937,"Distance: 178.76 cm\r\n",received
9:16:36 PM.979,"Distance: 178.84 cm\r\n",received
9:16:39 PM.18,"Distance: 178.53 cm\r\n",received
9:16:41 PM.44,"Distance: 26.54 cm\r\n",received
9:16:43 PM.83,"Distance: 26.54 cm\r\n",received
9:16:45 PM.120,"Distance: 178.69 cm\r\n",received
9:16:47 PM.154,"Distance: 178.86 cm\r\n",received
9:16:49 PM.192,"Distance: 28.61 cm\r\n",received
9:16:51 PM.247,"Distance: 178.86 cm\r\n",received
9:16:53 PM.293,"Distance: 178.86 cm\r\n",received
9:16:55 PM.303,"Distance: 26.91 cm\r\n",received
9:16:57 PM.333,"Distance: 179.18 cm\r\n",received
9:16:59 PM.377,"Distance: 178.43 cm\r\n",received
9:17:01 PM.420,"Distance: 179.28 cm\r\n",received
9:17:03 PM.467,"Distance: 178.72 cm\r\n",received
9:17:05 PM.490,"Distance: 178.70 cm\r\n",received
9:17:07 PM.542,"Distance: 179.23 cm\r\n",received
9:17:09 PM.581,"Distance: 178.86 cm\r\n",received
9:17:11 PM.617,"Distance: 179.16 cm\r\n",received
9:17:13 PM.649,"Distance: 178.76 cm\r\n",received
9:17:15 PM.706,"Distance: 178.79 cm\r\n",received
9:17:17 PM.756,"Distance: 178.74 cm\r\n",received
9:17:19 PM.772,"Distance: 26.64 cm\r\n",received
9:17:21 PM.813,"Distance: 179.23 cm\r\n",received
9:17:23 PM.864,"Distance: 179.25 cm\r\n",received
9:17:25 PM.884,"Distance: 179.60 cm\r\n",received
9:17:27 PM.940,"Distance: 179.13 cm\r\n",received
9:17:29 PM.978,"Distance: 178.84 cm\r\n",received
9:17:32 PM.31,"Distance: 178.91 cm\r\n",received
9:17:34 PM.79,"Distance: 179.23 cm\r\n",received
9:17:36 PM.111,"Distance: 179.15 cm\r\n",received
9:17:38 PM.146,"Distance: 179.13 cm\r\n",received
9:17:40 PM.178,"Distance: 178.76 cm\r\n",received
9:17:42 PM.219,"Distance: 178.74 cm\r\n",received
9:17:44 PM.260,"Distance: 178.76 cm\r\n",received
9:17:46 PM.299,"Distance: 179.20 cm\r\n",received
9:17:48 PM.328,"Distance: 179.21 cm\r\n",received
9:17:50 PM.384,"Distance: 178.87 cm\r\n",received
9:17:52 PM.408,"Distance: 178.96 cm\r\n",received
9:17:54 PM.452,"Distance: 28.65 cm\r\n",received
9:17:56 PM.493,"Distance: 26.93 cm\r\n",received
9:17:58 PM.514,"Distance: 28.65 cm\r\n",received
9:18:00 PM.549,"Distance: 178.81 cm\r\n",received
9:18:02 PM.604,"Distance: 178.81 cm\r\n",received
9:18:04 PM.635,"Distance: 179.21 cm\r\n",received
9:18:06 PM.660,"Distance: 26.50 cm\r\n",received
9:18:08 PM.693,"Distance: 27.35 cm\r\n",received
9:18:10 PM.744,"Distance: 178.86 cm\r\n",received
9:18:12 PM.775,"Distance: 178.87 cm\r\n",received
9:18:14 PM.804,"Distance: 28.73 cm\r\n",received
9:18:16 PM.842,"Distance: 28.73 cm\r\n",received
9:18:18 PM.872,"Distance: 28.73 cm\r\n",received
9:18:20 PM.902,"Distance: 178.76 cm\r\n",received
9:18:22 PM.948,"Distance: 178.84 cm\r\n",received
9:18:24 PM.984,"Distance: 26.64 cm\r\n",received
9:18:27 PM.3,"Distance: 28.61 cm\r\n",received
9:18:29 PM.48,"Distance: 28.61 cm\r\n",received
9:18:31 PM.81,"Distance: 178.89 cm\r\n",received
9:18:33 PM.115,"Distance: 178.76 cm\r\n",received
9:18:35 PM.143,"Distance: 28.61 cm\r\n",received
9:18:37 PM.194,"Distance: 178.47 cm\r\n",received
9:18:39 PM.226,"Distance: 179.25 cm\r\n",received
9:18:41 PM.258,"Distance: 178.87 cm\r\n",received
9:18:43 PM.307,"Distance: 178.81 cm\r\n",received
9:18:45 PM.351,"Distance: 178.76 cm\r\n",received
9:18:47 PM.387,"Distance: 28.65 cm\r\n",received
9:18:49 PM.419,"Distance: 28.65 cm\r\n",received
9:18:51 PM.451,"Distance: 178.74 cm\r\n",received
9:18:53 PM.502,"Distance: 179.23 cm\r\n",received
9:18:55 PM.529,"Distance: 178.81 cm\r\n",received
9:18:57 PM.570,"Distance: 178.81 cm\r\n",received
9:18:59 PM.608,"Distance: 178.84 cm\r\n",received
9:19:01 PM.661,"Distance: 178.45 cm\r\n",received
9:19:03 PM.683,"Distance: 178.43 cm\r\n",received
9:19:05 PM.735,"Distance: 178.81 cm\r\n",received
9:19:07 PM.775,"Distance: 178.79 cm\r\n",received
9:19:09 PM.802,"Distance: 178.79 cm\r\n",received
9:19:11 PM.849,"Distance: 178.82 cm\r\n",received
9:19:13 PM.888,"Distance: 178.79 cm\r\n",received
9:19:15 PM.930,"Distance: 178.81 cm\r\n",received
9:19:17 PM.959,"Distance: 28.65 cm\r\n",received
9:19:19 PM.987,"Distance: 178.89 cm\r\n",received
9:19:22 PM.43,"Distance: 179.25 cm\r\n",received
9:19:24 PM.71,"Distance: 178.98 cm\r\n",received
9:19:26 PM.117,"Distance: 178.94 cm\r\n",received
9:19:28 PM.154,"Distance: 178.84 cm\r\n",received
9:19:30 PM.190,"Distance: 28.61 cm\r\n",received
9:19:32 PM.214,"Distance: 28.65 cm\r\n",received
9:19:34 PM.248,"Distance: 178.79 cm\r\n",received
9:19:36 PM.292,"Distance: 26.91 cm\r\n",received
9:19:38 PM.332,"Distance: 178.86 cm\r\n",received
9:19:40 PM.376,"Distance: 178.50 cm\r\n",received
9:19:42 PM.413,"Distance: 27.47 cm\r\n",received
9:19:44 PM.437,"Distance: 178.98 cm\r\n",received
9:19:46 PM.482,"Distance: 178.96 cm\r\n",received
9:19:48 PM.523,"Distance: 178.89 cm\r\n",received
9:19:50 PM.549,"Distance: 178.87 cm\r\n",received
9:19:52 PM.608,"Distance: 178.87 cm\r\n",received
9:19:55 PM.52,"Distance: 178.89 cm\r\n",received
9:19:56 PM.681,"Distance: 178.77 cm\r\n",received
9:19:58 PM.728,"Distance: 178.77 cm\r\n",received
9:20:00 PM.759,"Distance: 28.65 cm\r\n",received
9:20:02 PM.788,"Distance: 178.84 cm\r\n",received
9:20:04 PM.818,"Distance: 178.89 cm\r\n",received
9:20:06 PM.874,"Distance: 178.98 cm\r\n",received
9:20:08 PM.903,"Distance: 26.93 cm\r\n",received
9:20:10 PM.945,"Distance: 178.87 cm\r\n",received
9:20:12 PM.969,"Distance: 178.74 cm\r\n",received
9:20:15 PM.10,"Distance: 178.76 cm\r\n",received
9:20:17 PM.62,"Distance: 178.79 cm\r\n",received
9:20:19 PM.106,"Distance: 178.84 cm\r\n",received
9:20:21 PM.146,"Distance: 178.87 cm\r\n",received
9:20:23 PM.195,"Distance: 178.94 cm\r\n",received
9:20:25 PM.223,"Distance: 178.99 cm\r\n",received
9:20:27 PM.267,"Distance: 178.81 cm\r\n",received
9:20:29 PM.306,"Distance: 179.23 cm\r\n",received
9:20:31 PM.348,"Distance: 179.37 cm\r\n",received
9:20:33 PM.385,"Distance: 178.87 cm\r\n",received
9:20:35 PM.410,"Distance: 28.71 cm\r\n",received
9:20:37 PM.451,"Distance: 28.59 cm\r\n",received
9:20:39 PM.490,"Distance: 178.91 cm\r\n",received
9:20:41 PM.532,"Distance: 178.81 cm\r\n",received
9:20:43 PM.574,"Distance: 178.87 cm\r\n",received
9:20:45 PM.602,"Distance: 178.86 cm\r\n",received
9:20:47 PM.649,"Distance: 178.81 cm\r\n",received
9:20:49 PM.689,"Distance: 178.79 cm\r\n",received
9:20:51 PM.717,"Distance: 28.63 cm\r\n",received
9:20:53 PM.773,"Distance: 178.89 cm\r\n",received
9:20:55 PM.799,"Distance: 178.77 cm\r\n",received
9:20:57 PM.846,"Distance: 178.79 cm\r\n",received
9:20:59 PM.882,"Distance: 179.21 cm\r\n",received
9:21:01 PM.916,"Distance: 26.88 cm\r\n",received
9:21:03 PM.951,"Distance: 27.00 cm\r\n",received
9:21:05 PM.972,"Distance: 28.61 cm\r\n",received
9:21:08 PM.24,"Distance: 179.33 cm\r\n",received
9:21:10 PM.63,"Distance: 26.50 cm\r\n",received
9:21:12 PM.68,"Distance: 27.74 cm\r\n",received
9:21:14 PM.104,"Distance: 25.87 cm\r\n",received
9:21:16 PM.142,"Distance: 28.71 cm\r\n",received
9:21:18 PM.180,"Distance: 28.65 cm\r\n",received
9:21:20 PM.402,"Distance: 29.58 cm\r\n",received
9:21:22 PM.225,"Distance: 27.01 cm\r\n",received
9:21:24 PM.261,"Distance: 28.73 cm\r\n",received
9:21:26 PM.301,"Distance: 179.25 cm\r\n",received
9:21:28 PM.347,"Distance: 26.91 cm\r\n",received