timestamp,temperature,humidity
2025-03-25 17:39:20.325010,27.2,61.6
2025-03-25 17:39:50.325010,27.2,61.5
2025-03-25 17:40:20.325010,27.2,61.5
2025-03-25 17:40:50.325010,27.2,61.4
2025-03-25 17:41:20.325010,27.2,61.4
2025-03-25 17:41:50.325010,27.2,61.5
2025-03-25 17:42:20.325010,27.2,61.6
2025-03-25 17:42:50.325010,27.2,61.6
2025-03-25 17:43:20.325010,27.2,61.7
2025-03-25 17:43:50.325010,27.2,61.9
2025-03-25 17:44:20.325010,27.2,61.9
2025-03-25 17:44:50.325010,27.2,61.8
2025-03-25 17:45:20.325010,27.2,61.7
2025-03-25 17:45:50.325010,27.2,61.7
2025-03-25 17:46:20.325010,27.2,61.6
2025-03-25 17:46:50.325010,27.2,61.6
2025-03-25 17:47:20.325010,27.2,61.6
2025-03-25 17:47:50.325010,27.2,61.6
2025-03-25 17:48:20.325010,27.2,61.3
2025-03-25 17:48:50.325010,27.2,61.5
2025-03-25 17:49:20.325010,27.2,61.4
2025-03-25 17:49:50.325010,27.2,61.6
2025-03-25 17:50:20.325010,27.2,61.7
2025-03-25 17:50:50.325010,27.2,61.8
2025-03-25 17:51:20.325010,27.2,61.9
2025-03-25 17:51:50.325010,27.2,61.9
2025-03-25 17:52:20.325010,27.2,61.9
2025-03-25 17:52:50.325010,27.2,61.8
2025-03-25 17:53:20.325010,27.1,61.8
2025-03-25 17:53:50.325010,27.2,61.8
2025-03-25 17:54:20.325010,27.2,61.8
2025-03-25 17:54:50.325010,27.1,61.8
2025-03-25 17:55:20.325010,27.2,61.9
2025-03-25 17:55:50.325010,27.1,61.9
2025-03-25 17:56:20.325010,27.1,62.0
2025-03-25 17:56:50.325010,27.1,62.0
2025-03-25 17:57:20.325010,27.2,62.0
2025-03-25 17:57:50.325010,27.1,62.0
2025-03-25 17:58:20.325010,27.2,62.0
2025-03-25 17:58:50.325010,27.1,62.1
2025-03-25 17:59:20.325010,27.1,62.1
2025-03-25 17:59:50.325010,27.2,61.9
2025-03-25 18:00:20.325010,27.1,61.7
2025-03-25 18:00:50.325010,27.1,61.7
2025-03-25 18:01:20.325010,27.1,61.6
2025-03-25 18:01:50.325010,27.1,61.5
2025-03-25 18:02:20.325010,27.1,61.5
2025-03-25 18:02:50.325010,27.1,61.5
2025-03-25 18:03:20.325010,27.1,61.6
2025-03-25 18:03:50.325010,27.1,61.7
2025-03-25 18:04:20.325010,27.2,61.8
2025-03-25 18:04:50.325010,27.1,61.7
2025-03-25 18:05:20.325010,27.1,62.0
2025-03-25 18:05:50.325010,27.1,62.0
2025-03-25 18:06:20.325010,27.1,62.1
2025-03-25 18:06:50.325010,27.1,62.1
2025-03-25 18:07:20.325010,27.1,62.2
2025-03-25 18:07:50.325010,27.1,62.2
2025-03-25 18:08:20.325010,27.1,62.3
2025-03-25 18:08:50.325010,27.1,62.4
2025-03-25 18:09:20.325010,27.1,62.4
2025-03-25 18:09:50.325010,27.1,62.3
2025-03-25 18:10:20.325010,27.1,62.3
2025-03-25 18:10:50.325010,27.1,62.3
2025-03-25 18:11:20.325010,27.1,62.2
2025-03-25 18:11:50.325010,27.1,62.2
2025-03-25 18:12:20.325010,27.1,62.2
2025-03-25 18:12:50.325010,27.1,62.2
2025-03-25 18:13:20.325010,27.1,62.1
2025-03-25 18:13:50.325010,27.1,62.1
2025-03-25 18:14:20.325010,27.1,62.1
2025-03-25 18:14:50.325010,27.1,62.2
2025-03-25 18:15:20.325010,27.1,62.2
2025-03-25 18:15:50.325010,27.1,62.2
2025-03-25 18:16:20.325010,27.1,62.2
2025-03-25 18:16:50.325010,27.1,62.3
2025-03-25 18:17:20.325010,27.1,62.3
2025-03-25 18:17:50.325010,27.1,62.3
2025-03-25 18:18:20.325010,27.1,62.3
2025-03-25 18:18:50.325010,27.1,62.4
2025-03-25 18:19:20.325010,27.1,62.4
2025-03-25 18:19:50.325010,27.1,62.3
2025-03-25 18:20:20.325010,27.1,62.4
2025-03-25 18:20:50.325010,27.1,62.3
2025-03-25 18:21:20.325010,27.1,62.2
2025-03-25 18:21:50.325010,27.1,62.2
2025-03-25 18:22:20.325010,27.1,62.2
2025-03-25 18:22:50.325010,27.1,62.2
2025-03-25 18:23:20.325010,27.1,62.3
2025-03-25 18:23:50.325010,27.1,62.4
2025-03-25 18:24:20.325010,27.1,62.4
2025-03-25 18:24:50.325010,27.1,62.4
2025-03-25 18:25:20.325010,27.1,62.4
2025-03-25 18:25:50.325010,27.1,62.4
2025-03-25 18:26:20.325010,27.1,62.4
2025-03-25 18:26:50.325010,27.1,62.4
2025-03-25 18:27:20.325010,27.1,62.4
2025-03-25 18:27:50.325010,27.1,62.3
2025-03-25 18:28:20.325010,27.1,62.2
2025-03-25 18:28:50.325010,27.1,62.3
2025-03-25 18:29:20.325010,27.1,62.2
2025-03-25 18:29:50.325010,27.1,62.2
2025-03-25 18:30:20.325010,27.1,62.1
2025-03-25 18:30:50.325010,27.1,62.0
2025-03-25 18:31:20.325010,27.1,61.8
2025-03-25 18:31:50.325010,27.1,61.9
2025-03-25 18:32:20.325010,27.1,61.8
2025-03-25 18:32:50.325010,27.1,61.8
2025-03-25 18:33:20.325010,27.1,61.9
2025-03-25 18:33:50.325010,27.1,61.8
2025-03-25 18:34:20.325010,27.1,61.9
2025-03-25 18:34:50.325010,27.1,62.0
2025-03-25 18:35:20.325010,27.1,61.9
2025-03-25 18:35:50.325010,27.1,61.9
2025-03-25 18:36:20.325010,27.1,61.9
2025-03-25 18:36:50.325010,27.1,62.0
2025-03-25 18:37:20.325010,27.1,62.0
2025-03-25 18:37:50.325010,27.0,62.0
2025-03-25 18:38:20.325010,27.1,61.9
2025-03-25 18:38:50.325010,27.1,61.8
2025-03-25 18:39:20.325010,27.1,61.7
2025-03-25 18:39:50.325010,27.0,61.7
2025-03-25 18:40:20.325010,27.0,61.8
2025-03-25 18:40:50.325010,27.0,61.7
2025-03-25 18:41:20.325010,27.0,61.7
2025-03-25 18:41:50.325010,27.0,61.7
2025-03-25 18:42:20.325010,27.0,61.8
2025-03-25 18:42:50.325010,27.0,61.9
2025-03-25 18:43:20.325010,27.0,62.0
2025-03-25 18:43:50.325010,27.0,61.9
2025-03-25 18:44:20.325010,27.0,61.7
2025-03-25 18:44:50.325010,27.0,61.6
2025-03-25 18:45:20.325010,27.0,61.5
2025-03-25 18:45:50.325010,27.0,61.4
2025-03-25 18:46:20.325010,27.0,61.3
2025-03-25 18:46:50.325010,27.0,61.4
2025-03-25 18:47:20.325010,27.0,61.4
2025-03-25 18:47:50.325010,27.0,61.5
2025-03-25 18:48:20.325010,27.0,61.5
2025-03-25 18:48:50.325010,27.0,61.5
2025-03-25 18:49:20.325010,27.0,61.4
2025-03-25 18:49:50.325010,27.0,61.5
2025-03-25 18:50:20.325010,27.0,61.7
2025-03-25 18:50:50.325010,27.0,61.7
2025-03-25 18:51:20.325010,27.0,61.6
2025-03-25 18:51:50.325010,27.0,61.5
2025-03-25 18:52:20.325010,27.0,61.6
2025-03-25 18:52:50.325010,27.0,61.4
2025-03-25 18:53:20.325010,27.0,61.2
2025-03-25 18:53:50.325010,27.0,61.1
2025-03-25 18:54:20.325010,27.0,61.0
2025-03-25 18:54:50.325010,27.0,61.0
2025-03-25 18:55:20.325010,27.0,60.9
2025-03-25 18:55:50.325010,26.9,60.7
2025-03-25 18:56:20.325010,27.0,60.9
2025-03-25 18:56:50.325010,27.0,60.9
2025-03-25 18:57:20.325010,27.0,61.0
2025-03-25 18:57:50.325010,26.9,61.1
2025-03-25 18:58:20.325010,27.0,60.9
2025-03-25 18:58:50.325010,26.9,61.0
2025-03-25 18:59:20.325010,26.9,60.9
2025-03-25 18:59:50.325010,26.9,60.8
2025-03-25 19:00:20.325010,26.9,60.7
2025-03-25 19:00:50.325010,26.9,60.7
2025-03-25 19:01:20.325010,26.9,60.6
2025-03-25 19:01:50.325010,26.9,60.6
2025-03-25 19:02:20.325010,26.9,60.6
2025-03-25 19:02:50.325010,26.9,60.5
2025-03-25 19:03:20.325010,26.9,60.7
2025-03-25 19:03:50.325010,26.9,60.9
2025-03-25 19:04:20.325010,26.9,60.9
2025-03-25 19:04:50.325010,26.9,61.0
2025-03-25 19:05:20.325010,26.9,61.0
2025-03-25 19:05:50.325010,26.9,61.0
2025-03-25 19:06:20.325010,26.9,60.9
2025-03-25 19:06:50.325010,26.9,60.7
2025-03-25 19:07:20.325010,26.9,60.7
2025-03-25 19:07:50.325010,26.9,60.6
2025-03-25 19:08:20.325010,26.9,60.6
2025-03-25 19:08:50.325010,26.9,60.7
2025-03-25 19:09:20.325010,26.9,60.7
2025-03-25 19:09:50.325010,26.9,60.8
2025-03-25 19:10:20.325010,26.9,60.9
2025-03-25 19:10:50.325010,26.8,61.0
2025-03-25 19:11:20.325010,26.9,61.2
2025-03-25 19:11:50.325010,26.9,61.2
2025-03-25 19:12:20.325010,26.9,61.3
2025-03-25 19:12:50.325010,26.8,61.4
2025-03-25 19:13:20.325010,26.9,61.4
2025-03-25 19:13:50.325010,26.9,61.5
2025-03-25 19:14:20.325010,26.9,61.5
2025-03-25 19:14:50.325010,26.9,61.6
2025-03-25 19:15:20.325010,26.8,61.7
2025-03-25 19:15:50.325010,26.9,61.7
2025-03-25 19:16:20.325010,26.8,61.7
2025-03-25 19:16:50.325010,26.8,61.7
2025-03-25 19:17:20.325010,26.8,61.8
2025-03-25 19:17:50.325010,26.8,61.8
2025-03-25 19:18:20.325010,26.8,61.6
2025-03-25 19:18:50.325010,26.8,61.6
2025-03-25 19:19:20.325010,26.8,61.5
2025-03-25 19:19:50.325010,26.8,61.4
2025-03-25 19:20:20.325010,26.8,61.4
2025-03-25 19:20:50.325010,26.8,61.5
2025-03-25 19:21:20.325010,26.8,61.6
2025-03-25 19:21:50.325010,26.8,61.6
2025-03-25 19:22:20.325010,26.8,61.6
2025-03-25 19:22:50.325010,26.8,61.6
2025-03-25 19:23:20.325010,26.8,61.7
2025-03-25 19:23:50.325010,26.8,61.7
2025-03-25 19:24:20.325010,26.8,61.6
2025-03-25 19:24:50.325010,26.8,61.6
2025-03-25 19:25:20.325010,26.8,61.6
2025-03-25 19:25:50.325010,26.8,61.6
2025-03-25 19:26:20.325010,26.8,61.5
2025-03-25 19:26:50.325010,26.8,61.5
2025-03-25 19:27:20.325010,26.7,61.5
2025-03-25 19:27:50.325010,26.7,61.5
2025-03-25 19:28:20.325010,26.7,61.5
2025-03-25 19:28:50.325010,26.7,61.6
2025-03-25 19:29:20.325010,26.7,61.7
2025-03-25 19:29:50.325010,26.7,61.7
2025-03-25 19:30:20.325010,26.7,61.8
2025-03-25 19:30:50.325010,26.7,61.8
2025-03-25 19:31:20.325010,26.7,61.8
2025-03-25 19:31:50.325010,26.7,61.8
2025-03-25 19:32:20.325010,26.7,61.8
2025-03-25 19:32:50.325010,26.7,61.8
2025-03-25 19:33:20.325010,26.7,61.9
2025-03-25 19:33:50.325010,26.7,61.8
2025-03-25 19:34:20.325010,26.7,61.8
2025-03-25 19:34:50.325010,26.7,61.9
2025-03-25 19:35:20.325010,26.7,61.9
2025-03-25 19:35:50.325010,26.7,61.9
2025-03-25 19:36:20.325010,26.7,61.9
2025-03-25 19:36:50.325010,26.7,61.8
2025-03-25 19:37:20.325010,26.7,61.8
2025-03-25 19:37:50.325010,26.7,61.7
2025-03-25 19:38:20.325010,26.7,61.6
2025-03-25 19:38:50.325010,26.7,61.6
2025-03-25 19:39:20.325010,26.7,61.6
2025-03-25 19:39:50.325010,26.7,61.5
2025-03-25 19:40:20.325010,26.6,61.5
2025-03-25 19:40:50.325010,26.6,61.4
2025-03-25 19:41:20.325010,26.7,61.6
2025-03-25 19:41:50.325010,26.6,61.5
2025-03-25 19:42:20.325010,26.7,61.3
2025-03-25 19:42:50.325010,26.7,61.1
2025-03-25 19:43:20.325010,26.6,61.2
2025-03-25 19:43:50.325010,26.6,61.0
2025-03-25 19:44:20.325010,26.6,61.0
2025-03-25 19:44:50.325010,26.6,61.0
2025-03-25 19:45:20.325010,26.7,61.0
2025-03-25 19:45:50.325010,26.6,61.0
2025-03-25 19:46:20.325010,26.6,61.0
2025-03-25 19:46:50.325010,26.6,61.1
2025-03-25 19:47:20.325010,26.6,61.3
2025-03-25 19:47:50.325010,26.6,61.4
2025-03-25 19:48:20.325010,26.6,61.4
2025-03-25 19:48:50.325010,26.6,61.4
2025-03-25 19:49:20.325010,26.6,61.6
2025-03-25 19:49:50.325010,26.6,61.6
2025-03-25 19:50:20.325010,26.6,61.7
2025-03-25 19:50:50.325010,26.6,61.7
2025-03-25 19:51:20.325010,26.6,61.7
2025-03-25 19:51:50.325010,26.6,61.7
2025-03-25 19:52:20.325010,26.6,61.7
2025-03-25 19:52:50.325010,26.6,61.7
2025-03-25 19:53:20.325010,26.6,61.7
2025-03-25 19:53:50.325010,26.6,61.7
2025-03-25 19:54:20.325010,26.6,61.7
2025-03-25 19:54:50.325010,26.6,61.7
2025-03-25 19:55:20.325010,26.6,61.7
2025-03-25 19:55:50.325010,26.6,61.5
2025-03-25 19:56:20.325010,26.6,61.4
2025-03-25 19:56:50.325010,26.6,61.3
2025-03-25 19:57:20.325010,26.6,61.4
2025-03-25 19:57:50.325010,26.6,61.4
2025-03-25 19:58:20.325010,26.6,61.4
2025-03-25 19:58:50.325010,26.6,61.5
2025-03-25 19:59:20.325010,26.6,61.4
2025-03-25 19:59:50.325010,26.6,61.4
2025-03-25 20:00:20.325010,26.6,61.4
2025-03-25 20:00:50.325010,26.6,61.3
2025-03-25 20:01:20.325010,26.6,61.2
2025-03-25 20:01:50.325010,26.6,61.2
2025-03-25 20:02:20.325010,26.5,61.2
2025-03-25 20:02:50.325010,26.6,61.2
2025-03-25 20:03:20.325010,26.6,61.2
2025-03-25 20:03:50.325010,26.6,61.3
2025-03-25 20:04:20.325010,26.5,61.3
2025-03-25 20:04:50.325010,26.5,61.4
2025-03-25 20:05:20.325010,26.5,61.4
2025-03-25 20:05:50.325010,26.5,61.5
2025-03-25 20:06:20.325010,26.5,61.5
2025-03-25 20:06:50.325010,26.5,61.5
2025-03-25 20:07:20.325010,26.5,61.5
2025-03-25 20:07:50.325010,26.5,61.6
2025-03-25 20:08:20.325010,26.5,61.6
2025-03-25 20:08:50.325010,26.5,61.6
2025-03-25 20:09:20.325010,26.5,61.6
2025-03-25 20:09:50.325010,26.5,61.7
2025-03-25 20:10:20.325010,26.5,61.6
2025-03-25 20:10:50.325010,26.5,61.7
2025-03-25 20:11:20.325010,26.5,61.7
2025-03-25 20:11:50.325010,26.5,61.6
2025-03-25 20:12:20.325010,26.5,61.7
2025-03-25 20:12:50.325010,26.5,61.6
2025-03-25 20:13:20.325010,26.5,61.6
2025-03-25 20:13:50.325010,26.5,61.6
2025-03-25 20:14:20.325010,26.5,61.5
2025-03-25 20:14:50.325010,26.5,61.5
2025-03-25 20:15:20.325010,26.5,61.5
2025-03-25 20:15:50.325010,26.5,61.5
2025-03-25 20:16:20.325010,26.4,61.5
2025-03-25 20:16:50.325010,26.5,61.5
2025-03-25 20:17:20.325010,26.5,61.4
2025-03-25 20:17:50.325010,26.4,61.4
2025-03-25 20:18:20.325010,26.5,61.4
2025-03-25 20:18:50.325010,26.5,61.4
2025-03-25 20:19:20.325010,26.4,61.3
2025-03-25 20:19:50.325010,26.4,61.3
2025-03-25 20:20:20.325010,26.4,61.1
2025-03-25 20:20:50.325010,26.4,61.2
2025-03-25 20:21:20.325010,26.4,61.2
2025-03-25 20:21:50.325010,26.4,61.1
2025-03-25 20:22:20.325010,26.4,61.1
2025-03-25 20:22:50.325010,26.4,61.1
2025-03-25 20:23:20.325010,26.4,61.0
2025-03-25 20:23:50.325010,26.4,61.1
2025-03-25 20:24:20.325010,26.4,61.1
2025-03-25 20:24:50.325010,26.4,61.0
2025-03-25 20:25:20.325010,26.4,61.1
2025-03-25 20:25:50.325010,26.4,61.1
2025-03-25 20:26:20.325010,26.4,61.2
2025-03-25 20:26:50.325010,26.4,61.2
2025-03-25 20:27:20.325010,26.4,61.3
2025-03-25 20:27:50.325010,26.4,61.3
2025-03-25 20:28:20.325010,26.4,61.4
2025-03-25 20:28:50.325010,26.4,61.5
2025-03-25 20:29:20.325010,26.4,61.4
2025-03-25 20:29:50.325010,26.4,61.4
2025-03-25 20:30:20.325010,26.4,61.5
2025-03-25 20:30:50.325010,26.4,61.5
2025-03-25 20:31:20.325010,26.4,61.5
2025-03-25 20:31:50.325010,26.4,61.6
2025-03-25 20:32:20.325010,26.4,61.7
2025-03-25 20:32:50.325010,26.4,61.6
2025-03-25 20:33:20.325010,26.3,61.6
2025-03-25 20:33:50.325010,26.4,61.6
2025-03-25 20:34:20.325010,26.3,61.6
2025-03-25 20:34:50.325010,26.3,61.6
2025-03-25 20:35:20.325010,26.4,61.7
2025-03-25 20:35:50.325010,26.3,61.7
2025-03-25 20:36:20.325010,26.4,61.7
2025-03-25 20:36:50.325010,26.4,61.7
2025-03-25 20:37:20.325010,26.4,61.6
2025-03-25 20:37:50.325010,26.3,61.7
2025-03-25 20:38:20.325010,26.4,61.8
2025-03-25 20:38:50.325010,26.4,61.8
2025-03-25 20:39:20.325010,26.3,61.8
2025-03-25 20:39:50.325010,26.4,61.9
2025-03-25 20:40:20.325010,26.4,61.9
2025-03-25 20:40:50.325010,26.3,61.8
2025-03-25 20:41:20.325010,26.4,61.7
2025-03-25 20:41:50.325010,26.4,61.8
